电影名,导演,类型,上映日期,剧情简介
蝴蝶效应,"埃里克·布雷斯,J·麦基·格鲁伯",剧情;悬疑;科幻;惊悚,2004-1-23,伊万（艾什顿·库奇 Ashton Kutcher 饰）曾经有一个糟糕的童年，因为他行为闯下了大祸，令他童年充满不堪回忆的往事。而事实上，他确实只是依稀记得一点可怕的情景，这些情景一直纠缠着他的正常生活。伊万接受心理学家建议，把琐碎生活记在记事本里，却偶然发现通过记事本回到过去。                                                                    　　这时他才清楚记起，童年时候的自己做了那么多的错事。他幻想着用现在的意识，潜入童年的身体，去弥补种种过失给人们带来的伤害，尤其是希望与当年暗恋的凯西最终走回一起。然而他一次次的跨越时空的更改，只能越来越招致现实世界的不可救药。一切就像蝴蝶效应般，牵一发而动全身。
超感猎杀：完结特别篇,拉娜·沃卓斯基,剧情;科幻;同性,2018-6-8,Netfilx宣布将为月初被砍的《超感猎杀》制作两小时最终篇！Wolfgang的命运及更多大坑终于要填上啦！剧集制作人拉娜·沃卓斯基在致Sense8家族的一封信中感谢全球粉丝，表示大结局正在制作中，将于明年上线！
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,剧情;动作;科幻;犯罪;惊悚,2012-8-27,检察官哈维·登特（艾伦·艾克哈特 Aaron Eckhart 饰）死后的八年间，哥谭市在戈登警长（加里·奥德曼 Gary Oldman 饰）的努力下有效地遏制了犯罪活动。而蝙蝠侠布鲁斯·韦恩（克里斯蒂安·贝尔 Christian Bale 饰）因为背负谋杀登特的罪名，被 警方通缉，在哥谭市销声匿迹。然而，这看似平静的状态被恐怖分子贝恩（汤姆·哈迪 Tom Hardy 饰）的出现打破，他利用猫女（安妮·海瑟薇 Anne Hathaway 饰）偷取布鲁斯的指纹，致使韦恩集团面临破财，布鲁斯被赶出董事会。为了保证韦恩集团投资的能源项目不被坏人利用制造核弹，布鲁斯帮助米兰达（玛丽昂·歌迪亚 Marion Cotillard 饰）成为董事会主席。贝恩接下来一连串精密设计的计划将哥谭市陷入孤绝之境，毁灭之日指日可待。布鲁斯只能再次肩负起拯救哥谭的重任，然而至亲的...
2001太空漫游,斯坦利·库布里克,科幻;惊悚;冒险,1968-4-2,这部影片是库布里克花了四年时间制作的充满哲学命题的鸿篇巨制。一块大黑石树立在史前人类的面前，他们刚刚开始认识工具，进入到进化的里程碑。同样的黑石还在宇宙多处出现，它们矗立在月球上，漂浮在太空中，带着某种神秘的寓意。                                                                    　　现在的时间是2001年，为了寻找黑石的根源，人类开展一项木星登陆计划。飞船上有冬眠的三名宇航员，大卫船长（凯尔·杜拉 Keir Dullea饰）、富兰克飞行员（加里·洛克伍德 Gary Lockwood饰），还有一部叫“HAL9000”的高智能电脑。HAL在宇宙飞行过程中发生错乱，令到富兰克和三名冬眠人员相继丧命，剩下波曼和这台电脑作战。                                                                    　　从死亡线上回来的大卫一气之下关掉主脑系统，HAL彻底失效。现在，茫茫宇宙中只剩大卫一人，向木星进发。穿越瑰异壮观的星门，大卫仿佛去到一个奇特的时空，那里有人类无尽的生死轮回和宇宙的终极知识……
阿凡达,詹姆斯·卡梅隆,动作;科幻;冒险,2010-1-4,战斗中负伤而下身瘫痪的前海军战士杰克·萨利（萨姆·沃辛顿 Sam Worthington 饰）决定替死去的同胞哥哥来到潘多拉星操纵格蕾丝博士（西格妮·韦弗 Sigourney Weaver 饰）用人类基因与当地纳美部族基因结合创造出的 “阿凡达” 混血生物。杰克的目的是打入纳美部落，外交说服他们自愿离开世代居住的家园，从而SecFor公司可砍伐殆尽该地区的原始森林，开采地下昂贵的“不可得”矿。在探索潘多拉星的过程中，杰克遇到了纳美部落的公主娜蒂瑞（佐伊·索尔达娜 Zoe Saldana 饰），向她学习了纳美人的生存技能与对待自然的态度。与此同时，SecFor公司的经理和军方代表上校迈尔斯（史蒂芬·朗 Stephen Lang 饰）逐渐丧失耐心，决定诉诸武力驱赶纳美人……                                                                            　　本片采用3D技术拍摄，共耗资5亿美元制作发行，是电影史上最为昂贵的作品。本片荣获...
黑客帝国3：矩阵革命,"拉娜·沃卓斯基,莉莉·沃卓斯基",动作;科幻,2003-11-5,第二集中，尼奥（基努·里维斯 Keanu Reeves 饰）没有能从内部摧毁“母体”，他的身体在真实世界的飞船上陷于昏迷，思想却被困在介于“母体”和真实世界的中间地带，这个地方由“火车人”控制。墨菲斯（劳伦斯·菲什伯恩 Laurence Fishburne 饰）和崔妮蒂（凯瑞-安·莫斯 Carrie-Anne Moss 饰）等人知道了尼奥的情况，在守护天使的带领下， 找到了“火车人”的控制者梅罗纹奇，经过一番激斗，将尼奥救了出来。                                                                            　　此时，电子乌贼部队对锡安发起了猛烈的攻击，人类组织所有机甲战士展开顽强的抵抗，形势危在旦夕；尼奥和崔妮蒂驾驶了一艘飞船克服重重困难，到达机器城市，尼奥终于见到了机器世界的统治者“机器大帝”，双方谈判并达成了协议：尼奥除掉不受“母体”控制的史密斯，以换取锡安的和平。                                                                            　　在“母体”中，尼奥和史密斯展开了关系人类生死存亡的最后决斗...
终结者2：审判日,詹姆斯·卡梅隆,动作;科幻,1991-7-3,上一部中，超级电脑“天网”阻止人类抵抗领袖约翰·康纳诞生的行动失败，时隔13年后，在“审判日”到来之前，“天网”派出了更加先进的生化机器人T-1000（罗伯特·帕特里克 饰）从公元2029年回到洛杉矶追杀已经长大的约翰，与此同时，约翰也派出了机器人T-800（阿诺· 施瓦辛格 饰）回去保护年幼的自己。                                                                    　　此时，萨拉·康纳（琳达·汉密尔顿 饰）因为怪异的言行而住进了精神疗养院，约翰则和养父母住在一起，行为叛逆。T-800找到他们，在逃避T-1000追杀过程中，获得了二人的信任。                                                                    　　为了改变未来的历史，挽救人类的命运，萨拉、约翰和T-800 Model 101找到了“天网”之父，迈尔斯·戴森（乔·莫顿 饰），说服他销毁一切有关“天网”的资料，此时，警察和T-1000同时赶来，他们陷入了多方争斗中。
千钧一发,安德鲁·尼科尔,剧情;科幻;惊悚,1997-10-24,未来的世界，科技的力量胜过一切，基因决定命运，几乎成为金科玉律。不幸文森特（伊桑•霍克 Ethan Hawke  饰）是一个基因不良的人，出生以来就决定了他近视和心脏病的缺陷，他只能活到30岁。于是父母为文森特增添了一个有着优良基因的弟弟。                                                                    　　文森特的梦想是漫游太空，然而恶劣的基因令他无法圆梦，直到他遇到了太空中心的杰罗姆（裘德•洛 Jude Law  饰）。杰罗姆有优秀的基因，却在一次意外中半身瘫痪。二人决定调换身份，文森特千方百计隐藏自己的基因信息，每天都认真清洗掉自己的皮屑毛发，不暴露任何蛛丝马迹。另一方面，杰罗姆帮他筹备进入太空前需要检查的基因物品。事情进展得非常顺利，然而一桩谋杀案和一根睫毛，让事情节外生枝。
大都会,弗里茨·朗,剧情;科幻,1927-1-10,Freder（Gustav Fröhlich 饰）是大都会主宰 Joh Fredersen（Alfred Abel 饰）的儿子。经一位圣洁姑娘（Brigitte Helm 饰）启示，Freder 来到地下目睹了在此劳作的劳工们悲惨的境遇。Freder 向父亲进言，想改变劳工们的处境。但 Joh 不为所动，却对从劳工们身上发现的地图感到忧虑。为弄清地图所示，Joh 不得不向老对头 Rotwang（Rudolf Klein-Rogge 饰）求教。地图所示究竟为何地？劳工们为何要去那里？
回到未来,罗伯特·泽米吉斯,喜剧;科幻;冒险,1985-7-3,布朗博士（克里斯托弗•洛伊德 Christopher Lloyd 饰）总是有些稀奇古怪的发明。在一次试验他发明的时光机器时，他找来了忘年交高中生马丁（迈克尔•J•福克斯 Michael J. Fox 饰）。岂料实验过程中博士被歹徒杀害了，马丁慌乱中架着时光机逃跑，回到了30年前。                                                                    　　马丁遇到了30年前的父亲乔治（克利斯丁•格拉夫 Crispin Glover 饰）和母亲洛莲（莉•汤普森 Lea Thompson 饰）。马丁一边找寻30年前的布朗博士，好让自己回到未来；一边尽力撮合乔治和洛莲，以免自己在以后消失了。但乔治为人懦弱，马丁在撮合过程中弄巧成拙让洛莲爱上了自己。还有令人讨厌的贝夫从中作梗，令马丁恼怒不已。                                                                    　　马丁周旋在他的双亲之间，还要尽快找到博士，想办法回到未来……
超能陆战队,"唐·霍尔,克里斯·威廉姆斯",喜剧;动作;科幻;动画;冒险,2015-2-28,未来世界的超级都市旧京山（San Fransokyo），热爱发明创造的天才少年小宏，在哥哥泰迪的鼓励下参加了罗伯特·卡拉汉教授主持的理工学院机器人专业的入学大赛。他凭借神奇的微型磁力机器人赢得观众、参赛者以及考官的一致好评，谁知突如其来的灾难却将小宏的梦想和人生毁于一旦。大火烧毁了展示会场，而哥哥为了救出受困的卡拉汉教授命丧火场。身心饱受创伤的小宏闭门不出，哥哥生前留下的治疗型机器人大白则成为安慰他的唯一伙伴。原以为微型机器人也毁于火灾，谁知小宏和大白竟意外发现有人在某座废弃工厂内大批量地生产他的发明。                                                                    　　稍后哥哥的朋友们弗雷德等人也加入进来，他们穿上小宏发明的超级战士战斗装备，和怀有险恶阴谋的神秘对手展开较量……
疯狂的麦克斯4：狂暴之路,乔治·米勒,动作;科幻;冒险,2015-5-14,未来世界，水资源短缺引发了连绵的战争。人们相互厮杀，争夺有限的资源，地球变成了血腥十足的杀戮死战场。面容恐怖的不死乔在戈壁山谷建立了难以撼动的强大武装王国，他手下的战郎驾驶装备尖端武器的战车四下抢掠，杀伐无度，甚至将自己的孩子打造成战争机器。在最近一次行动中，不死乔的得力战将弗瑞奥萨（查理兹·塞隆 Charlize Theron 饰）带着生育者们叛逃，这令不死乔恼羞成怒，发誓要追回生育者。经历了激烈的追逐战和摧毁力极强的沙尘暴，弗瑞奥萨和作为血主的麦克斯（汤姆·哈迪 Tom Hardy 饰）被迫上路，而身后不仅有不死乔的追兵，还有汽油镇、子弹农场的重兵追逐。                                                                    　　末世战争，全面爆发……
人工智能,史蒂文·斯皮尔伯格,剧情;科幻,2001-6-29,21世纪中期，由于温室效应，南北极冰川融化，地球上很多城市被淹没。此时，人类科技已经高度发达，人工智能机器人就是人类发明出来用以应对恶劣自然环境的科技手段之一，而且，机器人制造技术已经高度发达，先进的机器人不但拥有可以乱真的人类外表，还能感知自身的存在。                                                                    　　莫妮卡的儿子马丁重病住院，生命危在旦夕，为了缓解伤痛的心情，她领养了机器人小孩大卫（海利•乔•奥斯蒙特 饰），大卫的生存使命就是爱她。马丁苏醒，恢复健康，回到了家里，一系列的事情使大卫“失宠”，最后被莫妮卡抛弃。                                                                    　　在躲过机器屠宰场的残酷追杀后，大卫在机器情人乔（裘德•洛 饰）的帮助下，开始寻找自己的生存价值：渴望变成真正的小孩，重新回到莫妮卡妈妈的身边。谁也不知道他能否完成自己的心愿，脱胎换骨成为真正的人，等待他们的只是凶吉难料的旅程……
黑客帝国2：重装上阵,"拉娜·沃卓斯基,莉莉·沃卓斯基",动作;科幻,2003-7-18,上一部结尾，尼奥（基奴李维斯 饰）终于意识到自己的能力和使命，中弹复活后，变成了无所不能的“救世主”，他和女友崔妮蒂（凯莉·安·摩丝 饰），舰长墨菲斯（劳伦斯·菲什伯恩 饰）回到了人类的基地锡安，受到人们的热烈欢迎。                                                                    　　此时，“母体”决定先下手为强，派出了两万五千只电子乌贼攻击锡安基地；墨菲斯、尼奥和崔妮蒂则再次进入“母体”，寻找“制钥者”，准备从内部破坏；而本该被尼奥消灭的特勤史密斯似乎出了点问题，脱离了“母体”的控制，拥有可怕的复制能力，阻碍尼奥他们的行动。
回忆三部曲,"森本晃司,冈村天斋,大友克洋",动画;奇幻;科幻;惊悚,1995-12-23,本片由三段互无关联的故事组成。《她的回忆》：2092年，由伊瓦诺夫领导的太空垃圾回收飞船在返航途中接收到来自“宇宙坟场”的求救信号，特殊的是，信号中掺杂着歌剧《蝴蝶夫人》的唱段。队员汉兹与米格尔前往施救，却进入了一位歌剧演员艾娃的回忆，这些栩栩如生的回忆场景对船员们产生了威胁；《最臭兵器》：供职于制药公司的小职员田中信男拖着病体赶回公司，无意中服用了公司与军方合作的实验药品。自此信男成为了制造致命臭气的肉身工厂，对此毫不自知的信男却按照上司命令将药品样本送往东京总部，一路上引起大面积恐慌，军方不得不派出大批军队半路截杀信男；《大炮之街》：在一座由蒸汽驱动的城市中，一家三口展开了一天的生活。母亲去制造炮弹的工厂上班，父亲在炮台担任装填手，小儿子在学校里学习与大炮相关的知识。炮台不停开炮，但敌人的身影却始终没有出现……
头号玩家,史蒂文·斯皮尔伯格,动作;科幻;冒险,2018-3-30,故事发生在2045年，虚拟现实技术已经渗透到了人类生活的每一个角落。詹姆斯哈利迪（马克·里朗斯 Mark Rylance 饰）一手建造了名为“绿洲”的虚拟现实游戏世界，临终前，他宣布自己在游戏中设置了一个彩蛋，找到这枚彩蛋的人即可成为绿洲的继承人。要找到这枚彩蛋，必须先获得三把钥匙，而寻找钥匙的线索就隐藏在詹姆斯的过往之中。                                                                    　　韦德（泰尔·谢里丹 Tye Sheridan 饰）、艾奇（丽娜·维特 Lena Waithe 饰）、大东（森崎温 饰）和修（赵家正 饰）是游戏中的好友，和之后遇见的阿尔忒弥斯（奥利维亚·库克 Olivia Cooke 饰）一起，五人踏上了寻找彩蛋的征程。他们所要对抗的，是名为诺兰索伦托（本·门德尔森 Ben Mendelsohn 饰）的大资本家。
蜘蛛侠：平行宇宙,"鲍勃·佩尔西凯蒂,彼得·拉姆齐,罗德尼·罗斯曼",动作;科幻;动画;冒险,2018-12-21,正就读中学的少年迈尔斯（沙梅克·摩尔 Shameik Moore 配音）意外被一只遭受放射性污染的蜘蛛咬伤，随后身体发生奇特的变化。偶然机缘，他目睹了蜘蛛侠（克里斯·派恩 Chris Pine 配音）和犯罪头目金并（列维·施瑞博尔 Liev Schreiber 配音）的战斗。为了阻止金并利用时空对撞机扰乱宇宙，蜘蛛侠最终壮烈牺牲。可未过多久，来自平行宇宙的颓废的彼德·帕克（杰克·约翰逊 Jake M. Johnson 配音）出现在迈尔斯面前。为了阻止金并的阴谋，并帮助这个帕克返回自己的宇宙，他们闯入金并的老巢。在这一过程中，二人遭到章鱼博士和徘徊者的狙击。与此同时，来自其他宇宙的女蜘蛛侠、暗影蜘蛛侠、蜘猪侠、二次元蜘蛛妹相继出现。                                                                    　　他们合力与恶势力展开斗争……
彗星来的那一夜,詹姆斯·沃德·布柯特,科幻;悬疑;惊悚,2013-9-19,在一个静得有些诡异阴森的夜晚，年轻女子艾米丽（艾米丽·芭尔多尼 Emily Baldoni 饰）驱车来到朋友家参加聚会。此前她一边开车一边和男友打电话，然而通话突然中断，她的手机屏也莫名其妙出现裂痕。这一事件让艾米丽的心中升起隐隐不安，因为当晚一颗彗星刚好接近地球，一个 很久之前听过的传说使她对彗星的到来有着不祥的预感。稍后，朋友们落座，大家彼此交谈，叙说近况，虽然言语中有着许多莫名其妙、蹊跷反常的线索，然而均被一带而过。突然间，灯光尽灭。当光明重新来临时，众人发现附近只有一户人家还在亮灯，而亮灯人家里坐着的竟是……                                                                    　　本片荣获2014年阿姆斯特丹奇幻电影节黑郁金香奖。
蝙蝠侠：侠影之谜,克里斯托弗·诺兰,剧情;动作;科幻;犯罪;惊悚,2005-6-29,布鲁斯 韦恩（克里斯汀•贝尔 Christian Bale 饰）童年亲眼目睹了父母在高谭市街头被歹徒枪杀，韦恩充满怒火。在继承了父亲亿万家产后，韦恩开始环游世界，希望凭自己的力量复仇和打击犯罪！                                                                    　　韦恩为了了解罪犯的心理，在亚洲他亲自体现了犯罪的感觉，最后被捕入狱。他在狱中遇到了武艺高强的杜卡，杜卡传授了韦恩高强的武艺和坚韧的意志力。韦恩很快被神秘的影忍者盟看上，忍者大师一直想邀他加入。                                                                    　　韦恩不久发现影忍者盟对自己的家乡高谭市另有企图，他毅然回到了故乡。韦恩在自己的庄园发现了一个地下室，从此他多了一个身份—蝙蝠侠。蝙蝠侠开始了对抗笼罩在高谭市的黑暗。
穿越时空的少女,细田守,剧情;爱情;科幻;动画,2006-7-15,17岁少女绀野真琴是一个活泼跳脱的少女。在一次普通值日工作中，真琴不小心摔倒了，自此她发现自己拥有了穿越时空的能力。她兴奋不已，掌握了穿越时空的方法后，她经常用这个方法去解决生活中许多令她困扰十分的事。                                                                    　　喜欢棒球的真琴与同班的两名男生千昭与功介有着共同爱好。一天，与她本是好朋友的千昭突然向她表达爱意，手足无措了她再次穿越时空希望可以躲避这件事的发生。但没想到，千昭会跟同学友梨在一起了，而友梨也是一直喜欢千昭的。此时，暗恋功介的果穗误以为真琴是功介的女友。                                                                    　　为了帮忙解决朋友的问题，真琴不断以同样的方法回到过去。她突然发现自己手臂上的数字原来是穿越时空的次数，次数变得越来越少，与此同时她也发现了千昭的秘密……
发条橙,斯坦利·库布里克,犯罪;剧情;科幻,1971-12-19,阿利斯（马尔科姆•麦克道尔）是一位无恶不作的少年，他的特殊喜好是边听贝多芬的交响曲边奸淫女性，某次他进入一所别墅抢劫一番后，打残了该别墅的主人——一名小说家，并用特殊喜好蹂躏了其妻子。后来因为杀了一名单身女子，阿利斯入狱并接受了特殊的人格治疗，出狱后，他对淫乐之事产生彻底的厌倦。                                                                    　　但当阿利斯回到家时，周围人群没改变对他的旧看法，在种种歧视的重压下，他跑到郊外一所别墅想喘口气，不想这所别墅正是他以前抢劫过的小说家的那所。而作为反政府组织首领的该小说家为了达到某种目的，软禁了阿利斯。当这件事暴露小说家被捕时，其手下为了对抗政府，扬言要把阿利斯恢复原来的性情，完全不理一旁的阿利斯大叫“我完全好了”。
E.T.外星人,史蒂文·斯皮尔伯格,剧情;科幻,2002-6-20,小埃利奥特（亨利托马斯）发现一个意外走失的小外星人，他悄悄的收留了小外星人，并把他介绍给自己的哥哥和妹妹。孩子们与外星人友好的相处，给他吃巧克力，带他去郊外寻找家人留下的痕迹，并为小外星人的种种特异功能兴奋不已。渐渐的埃利奥特与外星人之间形成了某种奇妙的联系，跨越了言语沟通的障碍。                                                                    　　可是不久，外星人的存在被大人们知晓，无情的追捕行动展开了。ET被抓进实验室，小埃利奥特也一病不起。孩子们愤怒了，他们自发组织起来，营救外星人。埃利奥特也在心灵的感召下苏醒过来，加入营救行动。他们能成功么？
银翼杀手,雷德利·斯科特,科幻;惊悚,1982-6-25,2019年11月，刀锋跑者霍顿（Morgan Paull 饰）在泰瑞尔公司对新员工进行沃伊特-坎普夫测试时，被技师里昂·科瓦尔斯基（Brion James 饰）枪击。警监布莱恩特（M. Emmet Walsh 饰）不得不命老牌刀锋跑者戴克（Harrison Ford 饰）出马，猎杀复制人里昂、罗伊·巴蒂（Rutger Hauer 饰）、佐拉（Joanna Cassidy 饰）、普里斯（Daryl Hannah 饰）。戴克来到泰瑞尔公司调查，在艾登·泰瑞尔博士（Joe Turkel 饰）的请求下，对员工瑞秋（Sean Young 饰）进行了测试。百余问题之后，戴克判断瑞秋为复制人。而瑞秋本人对此真相竟一无所知……
守望者,扎克·施奈德,动作;科幻;悬疑,2009-3-6,由于邪恶势力肆意蔓延，一群具有超群实力的正义之士挺身而出，他们戴着面具，身着奇装异服，与各种坏蛋展开较量。不久，他们的英雄事迹通过媒体传遍全国，美元钞票、丝绸鬼魂、罗夏、城市队长等超级英雄的名字广为传播，他们更参与到大大小小的重大事件之中，也因各自的性格遭受着不同的命运。但是在20世纪70年代，政府出台的法令导致一部分不愿成为权贵爪牙的英雄退休，超级英雄集团由此分化。                                                                    　　1985年的一天，效力政府的超级英雄“喜剧演员”爱德华·布莱克（杰弗里·迪恩·摩根 Jeffrey Dean Morgan 饰）被人杀害。四处逃亡的“罗夏”的沃尔特·科瓦奇（杰基·厄尔·哈利 Jackie Earle Haley 饰）意识到有人正向曾经的超级英雄痛下杀手，而这背后隐藏着更大的阴谋……
