福建圣农发展股份有限公司,鸡翅边肉,1244141,百胜餐饮（福州）有限公司肯德基福州万达餐厅,福建省,福建省光泽县十里铺,2023-06-09,900g/袋,合格
福建圣农发展股份有限公司,鸡翅边肉,1244141,百胜餐饮（福州）有限公司莆田新文献肯德基餐厅,福建,福建省光泽县十里铺,2022-07-29,900g/袋,合格
福建圣农发展股份有限公司,鸡翅边肉,1244141,郑州肯德基有限公司开封清明上河园餐厅,河南,福建省光泽县十里铺,2022-08-10,900g/袋,合格
福建圣农发展股份有限公司,鸡翅边肉,1244141,青岛肯德基有限公司莱西乐好餐厅,山东,福建省光泽县十里铺,2021-03-19,30片/袋,合格
福建圣农发展股份有限公司,鸡翅边肉,1244141,烟台市济国餐饮管理有限公司青岛瑞昌路分公司,山东,福建省光泽县十里铺,2021-07-24,900g/袋,合格
福建圣农发展股份有限公司,鸡翅边肉,1244141,青岛肯德基有限公司烟台牟平南关大街餐厅,山东,福建省光泽县十里铺,2019-07-18,30片/袋,合格
福建圣农发展股份有限公司,鸡翅边肉,1244141,百胜餐饮（西安）有限公司肯德基汉中天汉餐厅,陕西,福建省光泽县十里铺,/,称重(30片/袋),合格
福建圣农发展股份有限公司,鸡翅边肉,1244141,杭州肯德基有限公司转塘分店,浙江,福建省光泽县十里铺,2019-06-09,30片/袋,合格
福建圣农发展股份有限公司,辣翅用翅根（鸡肉）,3200951,百胜餐饮（福州）有限公司肯德基长乐区郑和中路餐厅,/,福建省光泽县十里铺,2023-07-05,1.60千克/袋,合格
福建圣农发展股份有限公司,辣翅用翅根（鸡肉）,3200951,百胜餐饮（福州）有限公司肯德基长乐区郑和中路餐厅,/,福建省光泽县十里铺,2023-03-27,1.60千克/袋,合格
福建圣农发展股份有限公司,辣翅用翅根（鸡肉）,3200951,百胜餐饮（福州）有限公司肯德基福州帝豪餐厅,福建,福建省光泽县十里铺,2022-07-09,1.6千克/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,百胜餐饮（广东）有限公司肇庆肯德基伴月路餐厅,/,福建省光泽县十里铺,2023-03-07,2.16千克/袋,合格
